"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",1,0,0,0,0.00130999999999994,0.00135999999999997,0.00134999999999994,0.00133,0.00127999999999987,0.00144999999999987,0.00130000000000008,0.00132999999999988,0.00109000000000012,0.00129999999999993,0.000109999999999973
"2",1,0,0,-0.00671140939597315,0.0013800000000001,0.00136999999999996,0.00134999999999965,0.00135999999999997,0.00113000000000013,0.00108000000000002,0.00125999999999997,0.00132,0.00128999999999999,0.00124999999999997,0.000110000000000013
"3",1,0,0,0.7,0.0104400000000004,0.0103999999999995,0.0100400000000002,0.0109300000000004,0.00976000000000001,0.0102099999999995,0.0106699999999999,0.0102500000000005,0.0105200000000002,0.0104599999999999,0.00890999999999984
"4",1,0,-0.00671140939597315,0,0.00128999999999999,0.00108000000000003,0.00108000000000002,0.00123999999999993,0.00122,0.00134999999999981,0.00133000000000001,0.00118000000000001,0.00116000000000006,0.00112000000000002,0.000149999999999959
"5",1,0,-0.00671140939597315,-0.00671140939597315,0.00134999999999991,0.00109,0.00127000000000005,0.00110999999999997,0.00097999999999996,0.000979999999999913,0.00124000000000001,0.00122,0.00108000000000002,0.00126,0.000130000000000024
"6",1,0,-0.00671140939597315,0.7,0.0103800000000001,0.0102200000000005,0.0102600000000002,0.0105500000000003,0.0101799999999999,0.0105699999999999,0.0105699999999999,0.0101600000000001,0.0105999999999999,0.0103199999999999,0.00951999999999985
"7",1,0,0.7,0.7,0.0102400000000003,0.0105200000000003,0.0104999999999997,0.0103400000000004,0.01042,0.0104199999999989,0.0102799999999993,0.0106899999999998,0.0102899999999999,0.0106899999999998,0.00555000000000023
"8",2,0,0,0,0.0493800000000005,0.0485399999999999,0.0485600000000003,0.0480800000000003,0.0489799999999998,0.0482800000000005,0.0478700000000002,0.0491700000000011,0.0483999999999992,0.0499600000000007,0.0502100000000001
"9",2,0,0,-0.00671140939597315,0.0491200000000001,0.0499499999999998,0.0494200000000013,0.0495099999999997,0.0485199999999993,0.0488300000000023,0.0487500000000004,0.0491800000000002,0.0484899999999997,0.0481700000000006,0.0483599999999988
"10",2,0,0,0.7,0.0241300000000004,0.0237299999999997,0.0239199999999998,0.0245899999999985,0.0245700000000007,0.0253500000000002,0.0240400000000001,0.0245600000000001,0.0249599999999999,0.0240499999999989,0.0305400000000002
"11",2,0,-0.00671140939597315,0,0.0485099999999998,0.0491100000000006,0.0493900000000001,0.0479599999999999,0.0491599999999997,0.04849,0.0482199999999995,0.0485000000000009,0.0490100000000003,0.0488700000000003,0.0493899999999989
"12",2,0,-0.00671140939597315,-0.00671140939597315,0.0481099999999998,0.0492200000000006,0.0488400000000005,0.0497499999999996,0.0493700000000001,0.0479199999999996,0.0482800000000009,0.04789,0.0487300000000003,0.0484100000000006,0.0496200000000002
"13",2,0,-0.00671140939597315,0.7,0.02553,0.0246099999999999,0.0253300000000014,0.0246800000000003,0.0244,0.0242799999999998,0.0247499999999999,0.0251600000000003,0.0242200000000003,0.0244300000000001,0.0313200000000001
"14",2,0,0.7,0.7,0.0244499999999993,0.0242200000000003,0.0242599999999997,0.0245899999999996,0.0247000000000004,0.0243500000000009,0.0239000000000001,0.02519,0.02412,0.0240100000000013,0.0163199999999998
"15",2,1,0,0,1,0.0481800000000003,0.0489599999999995,0.04739,0.0487900000000001,0.0491599999999996,0.0486299999999998,0.048300000000001,0.0496500000000002,0.0488400000000002,0.0443698333333331
"16",2,1,0,-0.00671140939597315,1,0.04848,0.0488499999999992,0.0485200000000001,0.0494900000000006,0.0490000000000004,0.0476300000000002,0.0482400000000002,0.0495700000000002,0.0502599999999991,0.0457696666666671
"17",2,1,0,0.7,0.918939999999999,0.0243799999999995,0.0250499999999998,0.0250200000000006,0.0237399999999999,0.0248499999999995,0.0244100000000003,0.0253899999999996,0.0246499999999995,0.0246400000000002,0.0270455000000001
"18",2,1,-0.00671140939597315,0,1,0.0488699999999995,0.0482100000000004,0.0478900000000001,0.0499700000000003,0.0499400000000004,0.0481599999999993,0.0475200000000005,0.04913,0.047250000000001,0.0448106666666665
"19",2,1,-0.00671140939597315,-0.00671140939597315,1,0.0482400000000001,0.0480199999999998,0.0487000000000009,0.0487500000000007,0.0483999999999995,0.0486699999999991,0.0492200000000007,0.0491500000000002,0.0487199999999995,0.0443648333333336
"20",2,1,-0.00671140939597315,0.7,0.91827,0.0239399999999999,0.0251800000000002,0.0247100000000007,0.0250799999999999,0.0244800000000001,0.025,0.0250300000000001,0.0237500000000002,0.025,0.0268621666666664
"21",2,1,0.7,0.7,0.919059999999999,0.0244299999999994,0.0251699999999992,0.0243500000000003,0.0248100000000001,0.0246999999999996,0.0242899999999996,0.0252599999999991,0.0245199999999995,0.0246499999999994,0.0169101825396828
"22",2,2,0,0,0.99999,1,0.0479000000000008,0.0496299999999997,0.0499500000000001,0.048449999999999,0.0488899999999999,0.0493800000000003,0.0488999999999994,0.0492700000000001,0.0399599999999997
"23",2,2,0,-0.00671140939597315,1,1,0.0483099999999996,0.0498599999999999,0.0481700000000004,0.04886,0.0490399999999979,0.0491100000000005,0.0500700000000003,0.0496099999999989,0.039835333333333
"24",2,2,0,0.7,0.91779,0.918990000000002,0.0245599999999997,0.0246499999999993,0.0254,0.0252700000000004,0.0246900000000002,0.0244,0.02549,0.0247700000000011,0.0237711666666668
"25",2,2,-0.00671140939597315,0,1,0.99999,0.0493899999999997,0.0494299999999994,0.0493599999999999,0.0499499999999994,0.049089999999999,0.0489899999999991,0.0490000000000003,0.0489599999999996,0.0398496666666668
"26",2,2,-0.00671140939597315,-0.00671140939597315,1,1,0.0491399999999995,0.0489799999999998,0.0477800000000002,0.0481299999999998,0.0487800000000021,0.0490299999999997,0.0479700000000005,0.0482899999999993,0.038859666666667
"27",2,2,-0.00671140939597315,0.7,0.92002,0.91856,0.0249399999999996,0.0247000000000003,0.0247299999999995,0.0248900000000005,0.0241600000000002,0.0254899999999998,0.0251199999999998,0.02531,0.0237323333333333
"28",2,2,0.7,0.7,0.91917,0.91763,0.0241500000000004,0.0237799999999997,0.0240899999999998,0.0244499999999996,0.02468,0.0244,0.0244400000000004,0.0237500000000003,0.0160924126984125
