"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,0,0,0,0.00144999999999987,0.00130000000000008,0.00132999999999988,0.00109000000000012,0.00129999999999993,0.000209999999999965
"2",1,0,0,-0.0135135135135135,0.00116000000000003,0.00118000000000008,0.00111000000000003,0.00138999999999992,0.00120000000000005,0.000180000000000003
"3",1,0,0,0.7,0.0103300000000002,0.0104099999999999,0.0106000000000003,0.0109300000000006,0.0103500000000001,0.0100299999999997
"4",1,0,-0.0135135135135135,0,0.00130999999999997,0.00125999999999981,0.0013900000000001,0.00138000000000002,0.00141000000000007,0.000269999999999986
"5",1,0,-0.0135135135135135,-0.0135135135135135,0.00115,0.0011399999999999,0.00111999999999994,0.00116999999999997,0.00110999999999984,0.000279999999999954
"6",1,0,-0.0135135135135135,0.7,0.0108000000000003,0.0117200000000001,0.0101899999999999,0.0102999999999996,0.0108100000000003,0.01051
"7",1,0,0.7,0.7,0.0102199999999998,0.01023,0.0104099999999998,0.0103400000000004,0.0101600000000002,0.00642999999999948
"8",2,0,0,0,0.0482800000000005,0.0478700000000002,0.0491700000000011,0.0483999999999992,0.0499600000000007,0.0496699999999996
"9",2,0,0,-0.0135135135135135,0.0496900000000004,0.04905,0.0485300000000004,0.0485600000000004,0.0491500000000007,0.0503800000000009
"10",2,0,0,0.7,0.0247800000000001,0.0240999999999999,0.02416,0.0244,0.0244400000000011,0.0289899999999998
"11",2,0,-0.0135135135135135,0,0.049389999999999,0.0496500000000002,0.0483400000000002,0.0484899999999994,0.0499199999999998,0.0502300000000006
"12",2,0,-0.0135135135135135,-0.0135135135135135,0.04935,0.049459999999999,0.0493599999999999,0.0493800000000005,0.0496999999999987,0.0499800000000001
"13",2,0,-0.0135135135135135,0.7,0.0249399999999994,0.0249700000000002,0.0244400000000002,0.0245599999999999,0.0238199999999998,0.0286500000000009
"14",2,0,0.7,0.7,0.0243100000000001,0.0245399999999993,0.0250299999999997,0.0251700000000004,0.0247700000000008,0.0188800000000002
"15",2,1,0,0,0.99999,0.0486299999999998,0.048300000000001,0.0496500000000002,0.0488400000000002,0.0398708333333339
"16",2,1,0,-0.0135135135135135,1,0.0487799999999996,0.0487299999999999,0.0492200000000014,0.0475300000000005,0.0397279999999999
"17",2,1,0,0.7,0.918870000000001,0.0248900000000004,0.0250399999999999,0.0249399999999997,0.0244099999999998,0.0224108333333334
"18",2,1,-0.0135135135135135,0,1,0.0488899999999999,0.0486699999999993,0.0481299999999998,0.0485000000000008,0.0392850000000002
"19",2,1,-0.0135135135135135,-0.0135135135135135,0.99999,0.0490999999999992,0.0489100000000006,0.0485799999999992,0.0487900000000004,0.0392191666666666
"20",2,1,-0.0135135135135135,0.7,0.919729999999999,0.0249899999999995,0.0247599999999996,0.02475,0.0246599999999997,0.0220675000000005
"21",2,1,0.7,0.7,0.91937,0.0243599999999993,0.0245899999999995,0.0250299999999994,0.0249900000000002,0.0171798333333335
"22",2,2,0,0,1,1,0.0493800000000003,0.0488999999999994,0.0492700000000001,0.0299193333333333
"23",2,2,0,-0.0135135135135135,1,1,0.0484499999999995,0.0496700000000004,0.0497600000000007,0.0295146666666665
"24",2,2,0,0.7,0.92006,0.919199999999998,0.0239600000000003,0.0246599999999997,0.0246499999999995,0.0156920000000006
"25",2,2,-0.0135135135135135,0,1,1,0.0494499999999998,0.0491700000000014,0.04975,0.0298126666666667
"26",2,2,-0.0135135135135135,-0.0135135135135135,1,1,0.0485899999999997,0.0482599999999998,0.0486499999999991,0.0292489999999998
"27",2,2,-0.0135135135135135,0.7,0.917859999999997,0.91768,0.0255299999999992,0.0245999999999995,0.0243799999999996,0.0160459999999997
"28",2,2,0.7,0.7,0.918229999999999,0.917780000000002,0.0241300000000002,0.0245200000000002,0.0241400000000002,0.0134233333333333
