"","mean.ind","n.r.false","cor.stats.num.r","cor.stats.num.v","v1","v2","v3","v4","v5","FDR","v1.3rd","v2.3rd","v3.3rd","v4.3rd","v5.3rd","FDR.3rd","v1.4th","v2.4th","v3.4th","v4.4th","v5.4th","FDR.4th"
"1",1,0,0,0,0.00144999999999987,0.00130000000000008,0.00132999999999988,0.00109000000000012,0.00129999999999993,0.000209999999999965,0,1.00000000000124e-05,9.99999999999545e-06,1.99999999999904e-05,3.00000000000141e-05,0,0,0,0,0,0,0
"2",1,0,0,-0.0135135135135135,0.00116000000000003,0.00118000000000008,0.00111000000000003,0.00138999999999992,0.00120000000000005,0.000180000000000003,0,3.99999999999858e-05,2.00000000000135e-05,4.99999999999919e-05,1.0000000000013e-05,0,0,0,0,0,0,0
"3",1,0,0,0.7,0.0103300000000002,0.0104099999999999,0.0106000000000003,0.0109300000000006,0.0103500000000001,0.0100299999999997,0.00621000000000027,0.00658000000000015,0.00630000000000028,0.00684999999999998,0.00624000000000009,0.00541999999999954,0.00429000000000007,0.00456999999999994,0.00410000000000015,0.00501000000000008,0.00446000000000007,0.00343999999999993
"4",1,0,-0.0135135135135135,0,0.00130999999999997,0.00125999999999981,0.0013900000000001,0.00138000000000002,0.00141000000000007,0.000269999999999986,1.9999999999989e-05,0,1.99999999999899e-05,5.00000000000011e-05,3.00000000000164e-05,0,0,0,0,0,0,0
"5",1,0,-0.0135135135135135,-0.0135135135135135,0.00115,0.0011399999999999,0.00111999999999994,0.00116999999999997,0.00110999999999984,0.000279999999999954,0,0,1.0000000000004e-05,2.00000000000317e-05,0,0,0,0,0,0,0,0
"6",1,0,-0.0135135135135135,0.7,0.0108000000000003,0.0117200000000001,0.0101899999999999,0.0102999999999996,0.0108100000000003,0.01051,0.00659999999999992,0.00724000000000006,0.00631000000000017,0.00635999999999983,0.00678000000000066,0.0057999999999998,0.00470999999999993,0.00499999999999993,0.00448999999999987,0.0044999999999999,0.00485999999999959,0.00358000000000014
"7",1,0,0.7,0.7,0.0102199999999998,0.01023,0.0104099999999998,0.0103400000000004,0.0101600000000002,0.00642999999999948,0.00623000000000048,0.00618999999999988,0.00641000000000028,0.00595999999999917,0.00596999999999952,0.00377000000000036,0.0042699999999991,0.0042199999999999,0.00436000000000078,0.00426000000000004,0.00420999999999976,0.00244
"8",2,0,0,0,0.0128000000000002,0.0125299999999998,0.0130099999999993,0.0124499999999996,0.0129000000000002,0.00605000000000012,0.00034999999999998,0.000360000000000044,0.000320000000000012,0.000289999999999965,0.000279999999999966,1.00000000000177e-05,0,1.00000000000109e-05,0,0,0,0
"9",2,0,0,-0.0135135135135135,0.0125800000000001,0.0126599999999997,0.0122799999999997,0.01223,0.0119300000000001,0.00567999999999987,0.000269999999999948,0.000219999999999954,0.000279999999999979,0.000319999999999977,0.000230000000000033,1.99999999999913e-05,0,1.00000000000143e-05,0,0,1.0000000000006e-05,0
"10",2,0,0,0.7,0.0235899999999998,0.0228799999999997,0.0231500000000001,0.0233100000000002,0.0233499999999996,0.0270299999999995,0.01092,0.0107300000000002,0.0103800000000002,0.0102400000000003,0.01015,0.00981999999999984,0.00664999999999995,0.00625000000000019,0.00633000000000028,0.00652000000000047,0.00596000000000003,0.00540999999999996
"11",2,0,-0.0135135135135135,0,0.0129000000000004,0.0129900000000001,0.0131400000000001,0.0130600000000002,0.0138600000000001,0.00621000000000012,0.00036999999999998,0.000219999999999963,0.000429999999999997,0.000339999999999993,0.000240000000000016,6.00000000000199e-05,0,0,1.00000000000139e-05,0,0,0
"12",2,0,-0.0135135135135135,-0.0135135135135135,0.0119999999999999,0.0125800000000001,0.01234,0.0123299999999998,0.0122899999999999,0.00541999999999985,0.000250000000000018,0.000270000000000001,0.000260000000000035,0.00020999999999996,0.000290000000000017,1.99999999999906e-05,0,1.00000000000042e-05,1.00000000000098e-05,0,1.00000000000116e-05,0
"13",2,0,-0.0135135135135135,0.7,0.0239500000000005,0.02393,0.0233299999999998,0.0233499999999997,0.02271,0.026759999999999,0.0111599999999999,0.0106200000000004,0.0103699999999999,0.0103800000000001,0.01009,0.0100600000000004,0.00690999999999997,0.00637999999999995,0.00608999999999978,0.00631000000000005,0.00626000000000009,0.0052399999999998
"14",2,0,0.7,0.7,0.0232200000000003,0.0235200000000003,0.0238199999999995,0.0237999999999998,0.0236199999999995,0.0176199999999994,0.01028,0.0101499999999996,0.0106200000000003,0.0103099999999998,0.0103799999999997,0.00648000000000016,0.00612999999999985,0.00625999999999974,0.00617999999999981,0.00615999999999986,0.00634999999999951,0.00345999999999986
"15",2,1,0,0,0.823609999999999,0.01248,0.0125699999999999,0.01338,0.0130400000000003,0.00623416666666672,0.56692,0.000279999999999958,0.000450000000000014,0.000450000000000017,0.000279999999999972,3.49999999999933e-05,0.31658,0,1.99999999999996e-05,0,1.00000000000093e-05,0
"16",2,1,0,-0.0135135135135135,0.83575,0.0119500000000003,0.0123500000000001,0.0121700000000001,0.0120300000000002,0.00561583333333314,0.570550000000001,0.00029000000000002,0.000219999999999953,0.00026999999999995,0.000250000000000017,4.50000000000018e-05,0.309670000000001,1.00000000000112e-05,0,0,0,0
"17",2,1,0,0.7,0.425090000000001,0.0237800000000002,0.0237899999999994,0.0237999999999998,0.0233000000000001,0.0217758333333334,0.32,0.0108900000000001,0.0106799999999996,0.0105800000000002,0.01031,0.00814833333333292,0.263920000000001,0.00660000000000006,0.00657000000000003,0.00627999999999986,0.00626999999999968,0.00420166666666649
