"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,0,0,0,0.00144999999999987,0.00130000000000008,0.00132999999999988,0.00109000000000012,0.00129999999999993,0.000209999999999965
"2",1,0,0,-0.0135135135135135,0.00113000000000005,0.00116000000000013,0.00108000000000002,0.00123000000000006,0.00124999999999995,0.000339999999999993
"3",1,0,0,0.7,0.0100800000000001,0.01081,0.0099000000000002,0.0100800000000006,0.0099999999999995,0.0090400000000001
"4",1,0,-0.0135135135135135,0,0.00130999999999997,0.00125999999999981,0.0013900000000001,0.00138000000000002,0.00141000000000007,0.000269999999999986
"5",1,0,-0.0135135135135135,-0.0135135135135135,0.00118999999999999,0.00123000000000026,0.00104000000000004,0.00127000000000008,0.00111999999999999,0.000279999999999977
"6",1,0,-0.0135135135135135,0.7,0.0105599999999997,0.0100600000000003,0.0100099999999997,0.00981999999999999,0.00968000000000025,0.00944000000000018
"7",1,0,0.3,0.7,0.00997000000000035,0.00987000000000037,0.01004,0.0104500000000003,0.00960000000000011,0.00885000000000001
"8",2,0,0,0,0.0482800000000005,0.0478700000000002,0.0491700000000011,0.0483999999999992,0.0499600000000007,0.0496699999999996
"9",2,0,0,-0.0135135135135135,0.0472100000000002,0.0488099999999978,0.0487200000000001,0.0496700000000002,0.0495199999999997,0.0500799999999993
"10",2,0,0,0.7,0.0267399999999999,0.0272400000000004,0.0274400000000008,0.0275599999999998,0.0270100000000012,0.0314600000000003
"11",2,0,-0.0135135135135135,0,0.049389999999999,0.0496500000000002,0.0483400000000002,0.0484899999999994,0.0499199999999998,0.0502300000000006
"12",2,0,-0.0135135135135135,-0.0135135135135135,0.0478399999999993,0.0479499999999999,0.0501299999999999,0.0505000000000001,0.0479199999999997,0.0495399999999997
"13",2,0,-0.0135135135135135,0.7,0.0267799999999997,0.0272399999999998,0.0273300000000005,0.0277199999999988,0.0262399999999991,0.0315099999999998
"14",2,0,0.3,0.7,0.02696,0.0270999999999997,0.02697,0.0282000000000012,0.0276100000000004,0.0294199999999992
"15",2,1,0,0,0.99999,0.0486299999999998,0.048300000000001,0.0496500000000002,0.0488400000000002,0.0398708333333339
"16",2,1,0,-0.0135135135135135,1,0.0486800000000001,0.0483000000000003,0.0479499999999999,0.0487100000000002,0.039264166666667
"17",2,1,0,0.7,0.96787,0.0274999999999988,0.0268699999999999,0.0277700000000005,0.0269500000000004,0.0240191666666671
"18",2,1,-0.0135135135135135,0,1,0.0488899999999999,0.0486699999999993,0.0481299999999998,0.0485000000000008,0.0392850000000002
"19",2,1,-0.0135135135135135,-0.0135135135135135,1,0.0482499999999996,0.04733,0.05002,0.0488899999999999,0.0390716666666674
"20",2,1,-0.0135135135135135,0.7,0.967600000000001,0.0266900000000002,0.0267600000000001,0.0269999999999999,0.0276699999999996,0.0240458333333334
"21",2,1,0.3,0.7,0.96697,0.0268199999999995,0.0274699999999996,0.0271099999999996,0.0271000000000012,0.0225026666666663
"22",2,2,0,0,1,1,0.0493800000000003,0.0488999999999994,0.0492700000000001,0.0299193333333333
"23",2,2,0,-0.0135135135135135,0.99999,1,0.0500000000000017,0.0492900000000005,0.0483400000000001,0.0300396666666662
"24",2,2,0,0.7,0.968219999999999,0.96766,0.0258500000000008,0.0273,0.0268099999999999,0.0170643333333336
"25",2,2,-0.0135135135135135,0,1,1,0.0494499999999998,0.0491700000000014,0.04975,0.0298126666666667
"26",2,2,-0.0135135135135135,-0.0135135135135135,1,1,0.0479400000000005,0.0485000000000003,0.0488899999999999,0.0293846666666667
"27",2,2,-0.0135135135135135,0.7,0.966730000000001,0.96748,0.0268199999999995,0.0273300000000007,0.0281399999999998,0.0175136666666665
"28",2,2,0.3,0.7,0.96709,0.9669,0.0273999999999999,0.0270400000000002,0.0268099999999996,0.0168596666666669
