"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,0,0,0,0.00144999999999987,0.00130000000000008,0.00132999999999988,0.00109000000000012,0.00129999999999993,0.000209999999999965
"2",1,0,0,-0.0135135135135135,0.00129000000000037,0.00109999999999994,0.000909999999999895,0.00109999999999997,0.00119999999999955,0.00020999999999996
"3",1,0,0,0.7,0.0110399999999998,0.0106599999999999,0.0100899999999999,0.0106100000000002,0.0113199999999997,0.00876999999999989
"4",1,0,-0.0135135135135135,0,0.00130999999999997,0.00125999999999981,0.0013900000000001,0.00138000000000002,0.00141000000000007,0.000269999999999986
"5",1,0,-0.0135135135135135,-0.0135135135135135,0.00123000000000003,0.00127000000000005,0.00128000000000003,0.00139999999999994,0.00116000000000004,0.000170000000000001
"6",1,0,-0.0135135135135135,0.7,0.0100899999999999,0.0109499999999996,0.0107000000000001,0.0106899999999998,0.0107499999999995,0.00887999999999999
"7",1,0,0.3,0.7,0.0106700000000003,0.0114999999999997,0.0110500000000001,0.0107400000000009,0.0104300000000003,0.00893000000000019
"8",2,0,0,0,0.0482800000000005,0.0478700000000002,0.0491700000000011,0.0483999999999992,0.0499600000000007,0.0496699999999996
"9",2,0,0,-0.0135135135135135,0.0491,0.0480199999999993,0.0489100000000003,0.0488999999999991,0.0503,0.0502200000000002
"10",2,0,0,0.7,0.0310799999999996,0.0317600000000003,0.0314199999999998,0.0316499999999999,0.0310800000000004,0.03493
"11",2,0,-0.0135135135135135,0,0.049389999999999,0.0496500000000002,0.0483400000000002,0.0484899999999994,0.0499199999999998,0.0502300000000006
"12",2,0,-0.0135135135135135,-0.0135135135135135,0.0491599999999996,0.0482600000000006,0.0493399999999994,0.0487300000000003,0.0489100000000004,0.0491599999999996
"13",2,0,-0.0135135135135135,0.7,0.0313700000000003,0.0326900000000002,0.0316799999999995,0.0315700000000001,0.03108,0.0355600000000003
"14",2,0,0.3,0.7,0.0324200000000005,0.0314099999999994,0.0309500000000003,0.0314900000000002,0.0320599999999995,0.0331300000000001
"15",2,1,0,0,0.99999,0.0486299999999998,0.048300000000001,0.0496500000000002,0.0488400000000002,0.0398708333333339
"16",2,1,0,-0.0135135135135135,1,0.0507100000000002,0.0482999999999999,0.04927,0.048819999999998,0.0390368333333326
"17",2,1,0,0.7,0.98479,0.0301999999999997,0.03213,0.0323099999999988,0.0316599999999997,0.02684
"18",2,1,-0.0135135135135135,0,1,0.0488899999999999,0.0486699999999993,0.0481299999999998,0.0485000000000008,0.0392850000000002
"19",2,1,-0.0135135135135135,-0.0135135135135135,1,0.0485900000000013,0.0485099999999998,0.0497999999999999,0.0485399999999997,0.0394691666666668
"20",2,1,-0.0135135135135135,0.7,0.9841,0.0313700000000001,0.0319699999999998,0.0321900000000001,0.0316199999999999,0.0273116666666669
"21",2,1,0.3,0.7,0.98529,0.0313300000000008,0.0309600000000015,0.0321600000000003,0.0320599999999993,0.0261343333333341
"22",2,2,0,0,1,1,0.0493800000000003,0.0488999999999994,0.0492700000000001,0.0299193333333333
"23",2,2,0,-0.0135135135135135,1,1,0.0486299999999997,0.0484999999999998,0.0492000000000004,0.029678333333333
"24",2,2,0,0.7,0.98509,0.9853,0.0321699999999996,0.0319899999999997,0.0320300000000004,0.0201063333333335
"25",2,2,-0.0135135135135135,0,1,1,0.0494499999999998,0.0491700000000014,0.04975,0.0298126666666667
"26",2,2,-0.0135135135135135,-0.0135135135135135,1,1,0.0493300000000005,0.0483000000000002,0.0490499999999996,0.02989
"27",2,2,-0.0135135135135135,0.7,0.985,0.98447,0.0326100000000009,0.0327999999999996,0.03172,0.0203479999999999
"28",2,2,0.3,0.7,0.98535,0.98429,0.0315799999999998,0.0313900000000002,0.0315300000000006,0.0191556666666669
